unique_tokens_rate,num_hrefs,num_imgs,num_videos,average_token_length,num_keywords,min_avg_key,max_avg_key,avg_avg_key,href_avg_shares,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,title_subjectivity,title_sentiment_polarity,shares,title_Word_Count,text_Word_Count,is_weekday,not_weekday,average_shares_by_channel_date,text_readability_score,title_readability_score,noun_count,verb_count,adjective_count,april opens,last year,new window,new york,nggallery id,opens new,pic twitter,seealso slug,social media,twitter com,data_channel_business,data_channel_entertainment,data_channel_lifestyle,data_channel_social media,data_channel_tech
0.640816,5.0,3.0,1.0,4.579592,5.0,1459.5,4817.692,3370.415,1833.333,0.403762,0.038762,0.036735,0.02449,0.25,0.25,1600.0,7.0,176.0,1.0,0.0,1600.0,8.3,2.1,52.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.549618,4.0,1.0,0.0,4.636704,7.0,0.0,3581.094,2556.367,8500.0,0.410707,0.180934,0.044944,0.003745,0.0,0.0,1500.0,11.0,86.0,1.0,0.0,2402.6315789473683,6.6,3.7,24.0,11.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.577236,8.0,1.0,0.0,4.627451,7.0,2270.889,3852.8,3018.167,2076.333,0.397545,0.044864,0.035294,0.019608,0.0,0.0,1400.0,14.0,439.0,1.0,0.0,2402.6315789473683,9.6,4.0,127.0,48.0,62.0,5.0,0.0,17.0,0.0,0.0,15.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
0.525896,4.0,1.0,0.0,5.083665,9.0,0.0,3581.094,1871.403,2200.0,0.491578,0.15762,0.047809,0.011952,0.0,0.0,1300.0,6.0,241.0,1.0,0.0,2402.6315789473683,8.0,8.0,71.0,29.0,28.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.588889,6.0,9.0,0.0,4.336022,7.0,3581.094,8453.451,5155.323,805.0,0.628535,0.078497,0.053763,0.034946,0.0,0.0,3000.0,9.0,258.0,1.0,0.0,1815.0,11.6,4.4,69.0,34.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.494269,8.0,1.0,0.0,4.360679,4.0,3343.79,4817.692,3974.216,31625.0,0.567866,0.09898,0.03819,0.024045,0.666667,-0.33333,1600.0,11.0,249.0,1.0,0.0,3216.0833333333335,9.4,6.4,85.0,33.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.639706,4.0,1.0,0.0,4.594444,7.0,2499.333,5549.418,3667.217,4800.0,0.347222,0.186111,0.033333,0.005556,0.0,0.0,1300.0,9.0,238.0,1.0,0.0,1815.0,12.6,2.1,91.0,35.0,29.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.508511,26.0,8.0,0.0,4.713427,7.0,3030.861,4622.544,3761.262,3700.0,0.484539,0.13452,0.0501,0.026052,0.4,-0.15,2000.0,11.0,120.0,1.0,0.0,2402.6315789473683,8.2,1.7,40.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.481013,9.0,3.0,1.0,4.374613,8.0,0.0,6813.466,3745.055,11800.0,0.53306,0.186324,0.04644,0.021672,0.066667,0.033333,2100.0,8.0,680.0,1.0,0.0,1815.0,6.7,4.1,178.0,77.0,72.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.422028,11.0,1.0,0.0,4.272043,5.0,3343.79,5585.617,4111.006,2600.0,0.502861,0.121931,0.043011,0.01828,0.357143,0.0,1100.0,10.0,174.0,1.0,0.0,3216.0833333333335,10.3,6.8,39.0,21.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.725352,9.0,4.0,0.0,4.260563,8.0,0.0,6609.296,2982.167,1600.0,0.427131,0.242827,0.070423,0.007042,0.0,0.0,10100.0,6.0,521.0,1.0,0.0,3216.0833333333335,8.3,4.5,150.0,57.0,73.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.446547,8.0,1.0,0.0,4.789077,10.0,1160.0,3581.094,2645.3,3400.0,0.500424,0.106515,0.035782,0.018832,0.0,0.0,1400.0,9.0,352.0,1.0,0.0,3216.0833333333335,8.1,4.1,95.0,41.0,34.0,0.0,0.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.635135,8.0,1.0,0.0,4.614618,9.0,0.0,3637.895,2393.633,4700.0,0.42326,0.037212,0.036545,0.023256,0.3,0.2,1900.0,9.0,143.0,1.0,0.0,2402.6315789473683,9.4,6.8,43.0,15.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.610619,2.0,1.0,1.0,4.460526,5.0,1203.476,3581.094,2476.525,0.0,0.449306,0.087153,0.026316,0.013158,0.0,0.0,733.0,8.0,1104.0,1.0,0.0,3216.0833333333335,9.5,2.9,307.0,130.0,107.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
